Physician_ID,State,Primary_Specialty,ownership_interest,total_payments,number_of_payments
68,TN,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,42632.43,721
69,NY,Allopathic & Osteopathic Physicians|Ophthalmology,1,2224.52,92
70,IL,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",0,7037.31,283
71,CA,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,0,3508.0099999999998,57
72,NJ,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,0,4454.0199999999995,60
73,OH,Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,0,6771.34,93
74,CA,Allopathic & Osteopathic Physicians|Family Medicine,0,2784.7599999999998,144
77,TX,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,0,8172.33,348
78,TX,Allopathic & Osteopathic Physicians|Otolaryngology,0,1845.5,58
79,AL,Allopathic & Osteopathic Physicians|Family Medicine,0,9528.14,848
83,GA,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,0,189471.77,682
84,MD,Allopathic & Osteopathic Physicians|Internal Medicine,0,372.19,11
85,WA,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,6400.04,124
86,MD,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,7228.64,203
87,MA,Allopathic & Osteopathic Physicians|Urology,1,7494.24,427
91,NC,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,0,2585.04,96
92,WA,Allopathic & Osteopathic Physicians|Internal Medicine,0,3083.53,192
93,KS,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,1,34673.36,1357
94,ID,Allopathic & Osteopathic Physicians|Urology,0,4218.17,113
96,PA,Allopathic & Osteopathic Physicians|Surgery,0,10713.24,95
97,NH,Allopathic & Osteopathic Physicians|Internal Medicine,0,25470.25,50
98,TX,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,3229.05,65
99,SC,Allopathic & Osteopathic Physicians|Urology,0,6926.84,155
100,MA,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,0,2798.39,144
101,FL,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,0,2920.58,123
102,GA,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,0,8840.58,123
105,VA,Dental Providers|Dentist|General Practice,0,2158.29,37
106,FL,Allopathic & Osteopathic Physicians|Internal Medicine,0,1285.58,72
107,NY,Allopathic & Osteopathic Physicians|Ophthalmology,0,859.02,26
110,TX,Allopathic & Osteopathic Physicians|Urology,0,10475.85,54
111,KS,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,0,4564.39,88
113,CA,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot Surgery,0,2159.38,102
114,LA,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,1,10985.03,754
115,FL,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,0,102225.27,173
116,CA,Dental Providers|Dentist|General Practice,0,3249.64,20
118,IL,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,6694.08,59
120,GA,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,0,978.1899999999999,44
121,NC,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,1755.22,97
122,FL,Allopathic & Osteopathic Physicians|Internal Medicine,0,6339.51,328
123,MS,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,0,7513.64,302
124,NJ,Eye and Vision Services Providers|Optometrist,0,1062.22,42
125,IL,Allopathic & Osteopathic Physicians|Otolaryngology,0,746.69,39
126,CA,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,0,466926.19,194
127,IL,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,14394.68,119
128,NV,Eye and Vision Services Providers|Optometrist,0,2897.8,60
129,KS,Allopathic & Osteopathic Physicians|Pediatrics,0,1272.59,91
130,IN,Eye and Vision Services Providers|Optometrist,0,1587.29,67
131,HI,Allopathic & Osteopathic Physicians|Preventive Medicine|Preventive Medicine/Occupational Environmental Medicine,0,4710.31,223
132,OK,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,2587.0099999999998,60
133,CT,Allopathic & Osteopathic Physicians|Ophthalmology,0,1461.35,48
134,PA,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,8261.08,44
135,TN,Allopathic & Osteopathic Physicians|Pediatrics,0,1617.5,91
137,TX,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,1,6128.41,200
138,PA,Allopathic & Osteopathic Physicians|Internal Medicine,0,1859.01,124
140,NJ,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,1026.44,62
141,MO,Allopathic & Osteopathic Physicians|Pediatrics,0,965.51,57
142,NY,Allopathic & Osteopathic Physicians|Surgery,0,9553.65,90
143,OH,Allopathic & Osteopathic Physicians|Plastic Surgery,0,6253.91,161
144,FL,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,1,4241.1,201
145,NC,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",0,516.72,31
146,MI,Allopathic & Osteopathic Physicians|Family Medicine,0,1135.39,34
147,CO,Allopathic & Osteopathic Physicians|Urology,1,32461.43,45
148,KY,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,0,2933.36,119
149,TX,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,0,592.67,39
150,NY,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,0,7033.43,388
151,AZ,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,537.79,33
152,NY,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,1,9338.61,293
153,NC,Allopathic & Osteopathic Physicians|Allergy & Immunology,0,6907.1,380
154,TX,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,8156.17,121
156,TX,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,370785.46,1203
157,SD,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,0,23575.83,68
158,TN,Allopathic & Osteopathic Physicians|Preventive Medicine|Medical Toxicology,0,136251,84
159,CA,Allopathic & Osteopathic Physicians|Family Medicine,0,16264.89,876
160,OH,Allopathic & Osteopathic Physicians|Family Medicine,0,5115.18,367
161,IL,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,4112.13,43
163,WI,Allopathic & Osteopathic Physicians|Family Medicine,0,213405.92,1730
164,CA,Allopathic & Osteopathic Physicians|Ophthalmology,0,196482.6,112
165,NJ,Allopathic & Osteopathic Physicians|Internal Medicine,0,4673.58,136
166,TX,Allopathic & Osteopathic Physicians|Internal Medicine,0,1216.04,31
167,NJ,Allopathic & Osteopathic Physicians|Pediatrics,0,1283.52,68
168,AR,Eye and Vision Services Providers|Optometrist,0,1160.58,60
169,WI,Eye and Vision Services Providers|Optometrist,0,589.87,24
170,OH,Allopathic & Osteopathic Physicians|Allergy & Immunology,0,46117.57,247
171,GA,Allopathic & Osteopathic Physicians|Urology,0,3821.24,212
172,CT,Allopathic & Osteopathic Physicians|Internal Medicine,0,3020.48,269
173,GA,Eye and Vision Services Providers|Optometrist,0,464.87,9
174,TX,Allopathic & Osteopathic Physicians|Pediatrics,0,696.4399999999999,35
175,OH,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,0,8634.97,721
177,WA,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,1603.23,34
178,TN,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,0,10285.27,810
179,VA,Allopathic & Osteopathic Physicians|Urology,0,14952.32,540
181,MD,Eye and Vision Services Providers|Optometrist,0,537.3199999999999,22
183,IN,Allopathic & Osteopathic Physicians|Family Medicine,0,651.85,43
188,PA,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,0,3123.46,240
190,VA,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,9684.55,610
191,NC,Allopathic & Osteopathic Physicians|Urology,1,6967.24,189
192,OH,Allopathic & Osteopathic Physicians|Family Medicine,0,701.32,59
193,CA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,0,1259.13,39
194,NY,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,0,5377.15,30
195,TX,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),0,26974.86,296
196,CT,Allopathic & Osteopathic Physicians|Internal Medicine,0,2092.66,149
197,KY,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,0,3608.93,150
198,TX,Allopathic & Osteopathic Physicians|Ophthalmology,0,9125.08,154
199,CA,Eye and Vision Services Providers|Optometrist,0,5223.43,86
200,MI,Allopathic & Osteopathic Physicians|Surgery,0,1645.1,38
201,NY,Allopathic & Osteopathic Physicians|Urology,0,1549.36,61
202,PA,Allopathic & Osteopathic Physicians|Radiology|Neuroradiology,0,22704.12,39
203,WV,Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,0,8591.28,208
204,NC,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,0,1278.02,42
205,MD,Dental Providers|Dentist|General Practice,0,672.51,24
206,TX,Allopathic & Osteopathic Physicians|Surgery,0,13201.64,64
207,NE,Allopathic & Osteopathic Physicians|Family Medicine,0,1606.71,179
208,CA,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",0,483235.14,1194
209,NY,Allopathic & Osteopathic Physicians|Otolaryngology,0,16687.99,419
210,TX,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,6951.44,518
211,NY,Allopathic & Osteopathic Physicians|Pediatrics,0,977.56,34
212,NC,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,11759.61,79
213,TX,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Addiction Medicine,0,242912.9,223
215,NY,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,0,24183.42,603
216,AZ,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,14930.880000000001,146
217,DC,Allopathic & Osteopathic Physicians|Hospitalist,0,823.35,39
218,FL,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,0,27505.74,345
219,IN,Allopathic & Osteopathic Physicians|Family Medicine,0,771.62,56
220,TX,Allopathic & Osteopathic Physicians|Family Medicine,0,299.18,13
221,CA,Allopathic & Osteopathic Physicians|Anesthesiology,0,552.5,27
222,MD,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,0,603187.35,790
226,IA,Allopathic & Osteopathic Physicians|Family Medicine,0,3634.96,326
229,KY,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,0,4507.04,180
230,NY,Dental Providers|Dentist|Periodontics,0,930.54,20
231,CA,Allopathic & Osteopathic Physicians|Dermatology,0,1469.35,58
232,MD,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,0,2314.75,110
233,PA,Allopathic & Osteopathic Physicians|Surgery,0,50940.13,164
234,FL,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,0,20612.07,219
235,VA,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,3392.8,85
236,FL,Allopathic & Osteopathic Physicians|Internal Medicine,0,16837.03,962
237,TX,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,861.74,29
238,CA,Allopathic & Osteopathic Physicians|Anesthesiology,0,685.14,29
239,MO,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,0,1939.22,142
241,CO,Dental Providers|Dentist|Periodontics,0,6184.19,74
242,PA,Allopathic & Osteopathic Physicians|Surgery,0,3441.88,71
244,PA,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,0,15257.22,950
245,PA,Allopathic & Osteopathic Physicians|Internal Medicine,0,9906.11,794
246,NC,Allopathic & Osteopathic Physicians|Internal Medicine,0,1817.34,130
248,AZ,Allopathic & Osteopathic Physicians|Family Medicine,0,3420.23,246
249,OH,Allopathic & Osteopathic Physicians|Surgery,0,4687.75,75
250,UT,Allopathic & Osteopathic Physicians|Anesthesiology,0,309.1,15
252,CO,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,0,43119.69,383
253,WI,Dental Providers|Dentist|General Practice,0,301.67,9
254,LA,Allopathic & Osteopathic Physicians|Family Medicine,0,2760.39,134
255,PA,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,0,2085.61,32
256,NJ,Podiatric Medicine & Surgery Service Providers|Podiatrist,0,2543.22,118
258,MS,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,0,20849.74,203
259,PA,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,0,41298.14,475
260,CA,Allopathic & Osteopathic Physicians|Ophthalmology,0,6151.58,53
261,TX,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,8755.83,325
262,PA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,0,1413.09,74
263,OH,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,0,740.99,27
264,MO,Allopathic & Osteopathic Physicians|Internal Medicine,0,18433.61,1205
266,WV,Allopathic & Osteopathic Physicians|Family Medicine,0,5573.09,382
267,NJ,Allopathic & Osteopathic Physicians|Family Medicine,0,4584.48,310
268,OH,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,0,87059.48,585
269,NY,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,0,15592.12,85
270,MD,Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,0,11924.17,134
271,FL,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,0,2817.7,112
272,IN,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,3012.82,199
273,TX,Allopathic & Osteopathic Physicians|Pediatrics,0,757.01,54
275,NJ,Allopathic & Osteopathic Physicians|Plastic Surgery|Surgery of the Hand,0,4888.79,55
276,MO,Allopathic & Osteopathic Physicians|General Practice,0,9211.99,826
277,MO,Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,0,1737.38,106
278,NM,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,1,1388373.72,2013
279,FL,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,0,21270.57,265
280,FL,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,4176.11,166
281,NY,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,0,11241.82,584
282,FL,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,6087.89,107
283,FL,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Sports Medicine,0,81527.82,359
284,VA,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,0,2028.95,103
285,NC,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,2749.69,57
286,CA,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,1,102659.67,83
288,FL,Allopathic & Osteopathic Physicians|Surgery,0,5077.21,87
289,WA,Allopathic & Osteopathic Physicians|Internal Medicine,0,400872.91,642
290,CA,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,0,1389.05,42
291,IL,Allopathic & Osteopathic Physicians|Urology,0,12423.27,191
292,CT,Dental Providers|Dentist|General Practice,0,933.46,16
293,IN,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,0,13974.34,387
294,MT,Eye and Vision Services Providers|Optometrist,0,1170,41
295,NJ,Allopathic & Osteopathic Physicians|Family Medicine,0,1714.91,103
296,MI,Allopathic & Osteopathic Physicians|Internal Medicine,0,84021.78,151
297,VA,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,2434.25,139
298,NJ,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,0,664.97,44
299,GA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,0,2151.56,37
300,MA,Allopathic & Osteopathic Physicians|Internal Medicine,0,8291.9,758
301,MI,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,1656.61,119
302,GA,Allopathic & Osteopathic Physicians|Otolaryngology,0,954.18,49
304,IL,Allopathic & Osteopathic Physicians|Family Medicine,0,7935.03,573
305,OH,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Female Pelvic Medicine and Reconstructive Surgery,0,15432.69,100
310,PA,Allopathic & Osteopathic Physicians|Otolaryngology|Plastic Surgery within the Head & Neck,0,3269.35,116
311,MO,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,328455.58,1006
312,CA,Allopathic & Osteopathic Physicians|Ophthalmology,0,12580.58,105
313,CA,Allopathic & Osteopathic Physicians|Internal Medicine,0,1859.6100000000001,102
314,PA,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,0,1226.6,43
317,NC,Allopathic & Osteopathic Physicians|Surgery,0,30595.62,296
319,TX,Allopathic & Osteopathic Physicians|Otolaryngology,0,1640.77,102
320,MS,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,0,19648.04,83
321,CA,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,0,105127.27,267
322,CA,Allopathic & Osteopathic Physicians|Family Medicine,0,25694.73,967
323,TX,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,5727.79,107
324,GA,Allopathic & Osteopathic Physicians|Ophthalmology,1,3397.9900000000002,86
325,IN,Allopathic & Osteopathic Physicians|Family Medicine,0,4986.39,283
326,MA,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,0,207006.87,143
327,OK,Allopathic & Osteopathic Physicians|Urology,0,11293.81,483
328,PA,Allopathic & Osteopathic Physicians|Family Medicine,0,10799.55,1126
329,NY,Allopathic & Osteopathic Physicians|Internal Medicine,0,10524.9,690
330,KY,Allopathic & Osteopathic Physicians|Emergency Medicine,0,286.99,15
331,SC,Allopathic & Osteopathic Physicians|Family Medicine,0,11456.7,762
332,NY,Allopathic & Osteopathic Physicians|Pediatrics,0,1090.23,23
334,NY,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,0,9885.65,463
336,WV,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,0,20183.79,105
338,SC,Allopathic & Osteopathic Physicians|Urology,0,2395893.74,2017
339,PA,Allopathic & Osteopathic Physicians|Family Medicine,0,341.09,23
340,PR,Allopathic & Osteopathic Physicians|General Practice,0,3263.59,88
341,NC,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,0,5690.28,268
342,IL,Allopathic & Osteopathic Physicians|Internal Medicine,0,6044.36,351
343,AZ,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,0,967.86,62
345,NY,Allopathic & Osteopathic Physicians|Family Medicine,0,1303.96,44
346,FL,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,0,2212.12,18
347,CT,Podiatric Medicine & Surgery Service Providers|Podiatrist,0,2896.97,73
348,OH,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,0,2666.11,211
349,MD,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,1075.56,51
350,NY,Allopathic & Osteopathic Physicians|Internal Medicine,0,13313.02,261
351,NY,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,5465.34,261
352,WA,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,0,351042.61,635
353,GA,Allopathic & Osteopathic Physicians|Family Medicine,0,12993.18,1024
354,MS,Allopathic & Osteopathic Physicians|Family Medicine,0,56401.34,137
355,IN,Allopathic & Osteopathic Physicians|Internal Medicine,0,2314.68,51
356,NJ,Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,0,1013.14,70
357,PA,Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics,0,1495.5,40
359,MI,Allopathic & Osteopathic Physicians|General Practice,0,7242.79,223
360,CA,Eye and Vision Services Providers|Optometrist,0,3392.6,81
361,TX,Allopathic & Osteopathic Physicians|Allergy & Immunology,0,2602.12,144
362,MO,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,0,3315.04,44
363,VA,Allopathic & Osteopathic Physicians|Family Medicine,0,2635.84,80
365,IN,Allopathic & Osteopathic Physicians|Family Medicine,0,4844.1,356
366,TX,Allopathic & Osteopathic Physicians|Family Medicine,0,1059.05,55
367,KS,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,6697.12,89
368,WI,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,0,1081773.53,182
369,SC,Allopathic & Osteopathic Physicians|Pediatrics,0,905.45,61
370,HI,Allopathic & Osteopathic Physicians|Internal Medicine,0,2824.14,44
371,TX,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,0,1963.16,100
373,MN,Dental Providers|Dentist|General Practice,0,3453.94,22
374,CA,Allopathic & Osteopathic Physicians|Surgery,0,127413.01,194
377,CA,Allopathic & Osteopathic Physicians|Dermatology,0,5401.64,61
378,TN,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,7653.58,70
380,FL,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,0,15618.84,74
381,NY,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,1,19325.19,168
384,KY,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Female Pelvic Medicine and Reconstructive Surgery,0,6281,207
386,GA,Allopathic & Osteopathic Physicians|Ophthalmology|Cornea and External Diseases Specialist,0,4109.49,127
388,CA,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,35710.28,299
389,MD,Eye and Vision Services Providers|Optometrist,0,2154.24,44
390,FL,Allopathic & Osteopathic Physicians|Otolaryngology|Otolaryngology/Facial Plastic Surgery,0,1482.14,50
391,FL,Allopathic & Osteopathic Physicians|Ophthalmology,0,4413.67,115
392,IN,Allopathic & Osteopathic Physicians|Family Medicine,0,1677.58,140
393,PA,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,0,8088.12,63
394,CT,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,0,2892.66,181
396,WV,Allopathic & Osteopathic Physicians|Family Medicine,0,21124.55,1037
399,AL,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,0,4452.41,296
