Physician_ID,State,Primary_Specialty,ownership_interest,total_payments,number_of_payments,nature,total_of_nature,range,number_of_payment_range
177,WA,Obstetrics & Gynecology,0,1603.23,34,Food and Beverage,1428.46,470.33000000000004,8
178,TN,Internal Medicine,0,10285.27,810,Food and Beverage,10262.42,1217.9099999999999,56
179,VA,Urology,0,14952.32,540,Food and Beverage,8170.57,7149.46,51
181,MD,Eye and Vision Services Providers,0,537.3199999999999,22,Food and Beverage,504.18,180.75,4
183,IN,Family Medicine,0,651.85,43,Food and Beverage,651.85,129.13,6
188,PA,Internal Medicine,0,3123.46,240,Food and Beverage,2972.32,1090.67,84
190,VA,Internal Medicine,0,9684.55,610,Food and Beverage,9551.85,1347.9700000000003,87
191,NC,Urology,1,6967.24,189,Food and Beverage,4313.42,2398.5099999999998,62
192,OH,Family Medicine,0,701.32,59,Food and Beverage,699.75,221.51,17
193,CA,Psychiatry & Neurology,0,1259.13,39,Food and Beverage,1186.63,378.18,18
194,NY,Orthopaedic Surgery,0,5377.15,30,Food and Beverage,2522.82,2130.4,6
195,TX,Thoracic Surgery (Cardiothoracic Vascular Surgery),0,26974.86,296,Food and Beverage,13040.79,8385.91,19
196,CT,Internal Medicine,0,2092.66,149,Food and Beverage,2064.98,197.85000000000002,19
197,KY,Internal Medicine,0,3608.93,150,Food and Beverage,3560.32,836.08,35
198,TX,Ophthalmology,0,9125.08,154,Food and Beverage,7536.01,1436.1299999999999,23
199,CA,Eye and Vision Services Providers,0,5223.43,86,Food and Beverage,3328.4,1404.69,13
200,MI,Surgery,0,1645.1,38,Food and Beverage,1056.38,300.76000000000005,10
201,NY,Urology,0,1549.36,61,Food and Beverage,1225.15,228.55,18
202,PA,Radiology,0,22704.12,39,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",20400,5431.24,11
203,WV,Pain Medicine,0,8591.28,208,Food and Beverage,6713.28,1437.87,25
204,NC,Internal Medicine,0,1278.02,42,Food and Beverage,1267.8,218.1,9
205,MD,Dental Providers,0,672.51,24,Food and Beverage,460.93,174.04,4
206,TX,Surgery,0,13201.64,64,Travel and Lodging,6546.23,7338.93,21
207,NE,Family Medicine,0,1606.71,179,Food and Beverage,1606.71,445.59999999999997,58
208,CA,Internal Medicine,0,483235.14,1194,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",282028.93,112532.92,145
209,NY,Otolaryngology,0,16687.99,419,Food and Beverage,9412.82,3745.7799999999997,48
210,TX,Internal Medicine,0,6951.44,518,Food and Beverage,6146.66,754.4000000000001,69
211,NY,Pediatrics,0,977.56,34,Food and Beverage,952.56,280.07000000000005,6
212,NC,Orthopaedic Surgery,0,11759.61,79,Consulting Fee,4500,5563.75,15
213,TX,Psychiatry & Neurology,0,242912.9,223,Consulting Fee,126913.55,103995.52,48
215,NY,Psychiatry & Neurology,0,24183.42,603,Food and Beverage,23203.46,5545.6500000000005,146
216,AZ,Internal Medicine,0,14930.880000000001,146,Travel and Lodging,10276.35,9567.730000000001,27
217,DC,Hospitalist,0,823.35,39,Food and Beverage,823.35,172.23,11
218,FL,Orthopaedic Surgery,0,27505.74,345,Food and Beverage,11453.15,7290.35,79
219,IN,Family Medicine,0,771.62,56,Food and Beverage,771.62,265.78000000000003,19
220,TX,Family Medicine,0,299.18,13,Food and Beverage,299.18,40.900000000000006,3
221,CA,Anesthesiology,0,552.5,27,Food and Beverage,552.5,216.54,8
222,MD,Internal Medicine,0,603187.35,790,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",334880,292870.43,281
226,IA,Family Medicine,0,3634.96,326,Food and Beverage,3634.96,552.49,52
229,KY,Physical Medicine & Rehabilitation,0,4507.04,180,Food and Beverage,4507.04,548.9699999999999,27
230,NY,Dental Providers,0,930.54,20,Food and Beverage,447.89,359.94000000000005,5
231,CA,Dermatology,0,1469.35,58,Food and Beverage,1433.35,159.97,10
232,MD,Podiatric Medicine & Surgery Service Providers,0,2314.75,110,Food and Beverage,2236.48,385.30999999999995,28
233,PA,Surgery,0,50940.13,164,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",29000,33653.65,47
234,FL,Internal Medicine,0,20612.07,219,Food and Beverage,17735.67,3239.8999999999996,18
235,VA,Obstetrics & Gynecology,0,3392.8,85,Food and Beverage,1523.51,2597.0699999999997,42
236,FL,Internal Medicine,0,16837.03,962,Food and Beverage,16419.36,1289.4500000000003,95
237,TX,Obstetrics & Gynecology,0,861.74,29,Food and Beverage,835.54,123.72,4
238,CA,Anesthesiology,0,685.14,29,Food and Beverage,685.14,63.03999999999999,4
239,MO,Obstetrics & Gynecology,0,1939.22,142,Food and Beverage,1939.22,342.54999999999995,27
241,CO,Dental Providers,0,6184.19,74,Gift,4292.79,2476.12,23
242,PA,Surgery,0,3441.88,71,Food and Beverage,2540.5,878.5899999999999,10
244,PA,Internal Medicine,0,15257.22,950,Food and Beverage,13754.17,2348.58,148
245,PA,Internal Medicine,0,9906.11,794,Food and Beverage,9835.58,1139.8999999999996,84
246,NC,Internal Medicine,0,1817.34,130,Food and Beverage,1807.34,335.74,18
248,AZ,Family Medicine,0,3420.23,246,Food and Beverage,3168.06,903.8299999999999,73
249,OH,Surgery,0,4687.75,75,Food and Beverage,4569.59,747.5699999999999,12
250,UT,Anesthesiology,0,309.1,15,Food and Beverage,309.1,91.00000000000001,2
252,CO,Internal Medicine,0,43119.69,383,Travel and Lodging,17154.77,7734.859999999999,79
253,WI,Dental Providers,0,301.67,9,Gift,250.01,28.190000000000005,1
254,LA,Family Medicine,0,2760.39,134,Food and Beverage,2722.74,775.8900000000001,30
255,PA,Internal Medicine,0,2085.61,32,Food and Beverage,1532.58,578.9699999999999,6
256,NJ,Podiatric Medicine & Surgery Service Providers,0,2543.22,118,Food and Beverage,2529.16,651.32,38
258,MS,Internal Medicine,0,20849.74,203,Travel and Lodging,12132.76,9210.95,64
259,PA,Internal Medicine,0,41298.14,475,Grant,20000,24350.65,143
260,CA,Ophthalmology,0,6151.58,53,Consulting Fee,3750,5272.06,10
261,TX,Internal Medicine,0,8755.83,325,Food and Beverage,5500.76,3077.96,93
262,PA,Psychiatry & Neurology,0,1413.09,74,Food and Beverage,1317.1,65.68,7
263,OH,Radiology,0,740.99,27,Food and Beverage,740.99,141.3,7
264,MO,Internal Medicine,0,18433.61,1205,Food and Beverage,18377.04,982.3499999999999,54
266,WV,Family Medicine,0,5573.09,382,Food and Beverage,5533.29,346.28999999999996,32
267,NJ,Family Medicine,0,4584.48,310,Food and Beverage,4391.96,716.36,51
268,OH,Internal Medicine,0,87059.48,585,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",58200,5706.8099999999995,100
269,NY,Colon & Rectal Surgery,0,15592.12,85,Education,7749.99,3210.97,18
270,MD,Pain Medicine,0,11924.17,134,Food and Beverage,4909.19,7452.53,40
271,FL,Obstetrics & Gynecology,0,2817.7,112,Food and Beverage,2698.57,631.1999999999999,23
272,IN,Obstetrics & Gynecology,0,3012.82,199,Food and Beverage,2834.79,336.38000000000005,22
273,TX,Pediatrics,0,757.01,54,Food and Beverage,752.01,182.4,14
275,NJ,Plastic Surgery,0,4888.79,55,Food and Beverage,3321.67,2128.2000000000003,17
276,MO,General Practice,0,9211.99,826,Food and Beverage,8672.97,1844.2800000000002,154
277,MO,Pediatrics,0,1737.38,106,Food and Beverage,1737.38,364.84999999999997,22
278,NM,Psychiatry & Neurology,1,1388373.72,2013,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",1030873.07,74250.01000000004,225
279,FL,Psychiatry & Neurology,0,21270.57,265,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",12450,7645.0999999999995,26
280,FL,Internal Medicine,0,4176.11,166,Food and Beverage,3109.38,1263,12
281,NY,Psychiatry & Neurology,0,11241.82,584,Food and Beverage,10929.82,573.1199999999999,26
282,FL,Orthopaedic Surgery,0,6087.89,107,Food and Beverage,4176.61,2012.42,29
283,FL,Physical Medicine & Rehabilitation,0,81527.82,359,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",58787.5,48343.79,98
284,VA,Internal Medicine,0,2028.95,103,Food and Beverage,1900.66,384.54,27
285,NC,Orthopaedic Surgery,0,2749.69,57,Food and Beverage,2291.65,509.78000000000003,14
286,CA,Internal Medicine,1,102659.67,83,Consulting Fee,67106.39,34413.17,31
288,FL,Surgery,0,5077.21,87,Education,3650.72,301.04999999999995,24
289,WA,Internal Medicine,0,400872.91,642,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",293892,57048.51000000001,89
290,CA,Internal Medicine,0,1389.05,42,Food and Beverage,1335.41,598.14,18
291,IL,Urology,0,12423.27,191,Food and Beverage,7338.8099999999995,1193.82,46
292,CT,Dental Providers,0,933.46,16,Food and Beverage,594.46,328.09,3
293,IN,Internal Medicine,0,13974.34,387,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",7550,7809.67,69
294,MT,Eye and Vision Services Providers,0,1170,41,Food and Beverage,1170,178.45,4
295,NJ,Family Medicine,0,1714.91,103,Food and Beverage,1405.83,605.52,41
296,MI,Internal Medicine,0,84021.78,151,Consulting Fee,58558.5,22591.15,34
297,VA,Obstetrics & Gynecology,0,2434.25,139,Food and Beverage,2230.98,271.19,14
298,NJ,Physical Medicine & Rehabilitation,0,664.97,44,Food and Beverage,663.4,172.32,11
299,GA,Psychiatry & Neurology,0,2151.56,37,Food and Beverage,2031.31,691.5999999999999,9
300,MA,Internal Medicine,0,8291.9,758,Food and Beverage,8261.47,874.26,105
301,MI,Obstetrics & Gynecology,0,1656.61,119,Food and Beverage,1529.92,173.57999999999998,16
302,GA,Otolaryngology,0,954.18,49,Food and Beverage,939.09,204.71,10
304,IL,Family Medicine,0,7935.03,573,Food and Beverage,7896.48,1076.47,81
305,OH,Obstetrics & Gynecology,0,15432.69,100,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",11500,9988.09,16
310,PA,Otolaryngology,0,3269.35,116,Food and Beverage,2563.18,859.23,20
311,MO,Internal Medicine,0,328455.58,1006,Consulting Fee,317421,81001.34,77
312,CA,Ophthalmology,0,12580.58,105,Consulting Fee,6250,1099.6899999999998,8
313,CA,Internal Medicine,0,1859.6100000000001,102,Food and Beverage,1822.53,432.81,20
314,PA,Podiatric Medicine & Surgery Service Providers,0,1226.6,43,Food and Beverage,1046,310.80999999999995,17
317,NC,Surgery,0,30595.62,296,Food and Beverage,12678.61,7919.86,76
319,TX,Otolaryngology,0,1640.77,102,Food and Beverage,1640.77,245.11,14
320,MS,Orthopaedic Surgery,0,19648.04,83,Consulting Fee,7250,6104.719999999999,19
321,CA,Obstetrics & Gynecology,0,105127.27,267,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",58956.36,48939.22,79
322,CA,Family Medicine,0,25694.73,967,Food and Beverage,25558.33,3053.6700000000005,78
323,TX,Orthopaedic Surgery,0,5727.79,107,Food and Beverage,3337.79,2414.87,9
324,GA,Ophthalmology,1,3397.9900000000002,86,Food and Beverage,2654.84,1025.3899999999999,14
325,IN,Family Medicine,0,4986.39,283,Food and Beverage,4917.19,698.4199999999998,36
326,MA,Surgery,0,207006.87,143,Consulting Fee,155472.71,51321.65,31
327,OK,Urology,0,11293.81,483,Food and Beverage,9284,1378.85,9
328,PA,Family Medicine,0,10799.55,1126,Food and Beverage,10429.94,593.5900000000001,64
329,NY,Internal Medicine,0,10524.9,690,Food and Beverage,10485.89,1964.4099999999999,144
330,KY,Emergency Medicine,0,286.99,15,Food and Beverage,286.99,37.76,3
331,SC,Family Medicine,0,11456.7,762,Food and Beverage,11396.27,1019.69,51
332,NY,Pediatrics,0,1090.23,23,Food and Beverage,1090.23,259.94,10
334,NY,Internal Medicine,0,9885.65,463,Food and Beverage,8760.2,2052.33,122
336,WV,Internal Medicine,0,20183.79,105,Travel and Lodging,15417.55,6762.3,25
338,SC,Urology,0,2395893.74,2017,Consulting Fee,1460856.79,213319.08000000002,125
339,PA,Family Medicine,0,341.09,23,Food and Beverage,341.09,54.38,4
340,PR,General Practice,0,3263.59,88,Food and Beverage,3222.91,751.5,16
341,NC,Internal Medicine,0,5690.28,268,Food and Beverage,4010.1,2285.5,110
342,IL,Internal Medicine,0,6044.36,351,Food and Beverage,5872.39,521.44,37
343,AZ,Podiatric Medicine & Surgery Service Providers,0,967.86,62,Food and Beverage,967.86,117.28000000000002,9
345,NY,Family Medicine,0,1303.96,44,Food and Beverage,1297.8799999999999,181.42000000000002,4
346,FL,Pathology,0,2212.12,18,Food and Beverage,1258.06,855.01,3
347,CT,Podiatric Medicine & Surgery Service Providers,0,2896.97,73,Food and Beverage,2881.97,602.2900000000001,14
348,OH,Psychiatry & Neurology,0,2666.11,211,Food and Beverage,2515.39,664.45,77
349,MD,Obstetrics & Gynecology,0,1075.56,51,Food and Beverage,1045.2,218.01,6
350,NY,Internal Medicine,0,13313.02,261,Food and Beverage,12980.77,1443.8999999999999,18
351,NY,Obstetrics & Gynecology,0,5465.34,261,Food and Beverage,4489.6,1185.9499999999998,60
352,WA,Internal Medicine,0,351042.61,635,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",224885,67840.98000000001,96
353,GA,Family Medicine,0,12993.18,1024,Food and Beverage,12664.75,648.22,86
354,MS,Family Medicine,0,56401.34,137,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",48254.51,21820.48,39
355,IN,Internal Medicine,0,2314.68,51,Food and Beverage,2289.73,391.95,13
356,NJ,Pediatrics,0,1013.14,70,Food and Beverage,1013.14,143.47000000000003,8
357,PA,Dental Providers,0,1495.5,40,Food and Beverage,1357.58,283.23999999999995,7
359,MI,General Practice,0,7242.79,223,Food and Beverage,3802.26,3615.1600000000003,69
360,CA,Eye and Vision Services Providers,0,3392.6,81,Food and Beverage,3260.26,445.64,16
361,TX,Allergy & Immunology,0,2602.12,144,Food and Beverage,2594.5,302.40000000000003,25
362,MO,Internal Medicine,0,3315.04,44,Food and Beverage,3241.09,1397.52,15
363,VA,Family Medicine,0,2635.84,80,Food and Beverage,2528.98,768.7,23
