Physician_ID;State;Primary_Specialty;total_payments;number_of_payments;top_nature;total_of_top_nature;range_count;range_total;top_company;pay_count;std;top_rpi;rpi_count;cash;services;stock;stock_opt;any_ownership;dividend;stock_or_other;top_fop;fop_count
26;IL;Internal Medicine;6788.979999999996;390;Food and Beverage;6494.3799999999965;128;2228.17;74;41;14.813030617369893;Yes;355;23.0;367.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;367
27;FL;Neurological Surgery;55552.99999999994;234;Consulting Fee;41430.380000000005;35;13013.339999999998;700;24;490.10187013679024;Yes;147;104.0;130.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;130
28;NY;Internal Medicine;5619.509999999998;351;Food and Beverage;5338.36;55;769.2400000000002;47;37;23.07872401405049;Yes;188;41.0;310.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;310
29;MI;Internal Medicine;4534.130000000003;240;Food and Beverage;4248.970000000001;62;729.2400000000002;147;32;27.390073500719794;Yes;200;38.0;202.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;202
30;MI;Orthopaedic Surgery;8732.769999999999;67;Consulting Fee;5500.0;28;5534.360000000001;42;12;139.84660287610345;Covered;35;22.0;45.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;45
31;NJ;Internal Medicine;253482.5100000002;1294;Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program;193836.4;46;41040.86000000001;150;49;129.1301980681903;Yes;814;284.0;1010.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;1010
32;FL;Internal Medicine;14676.989999999998;44;Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program;10800.0;22;13045.109999999999;492;6;140.22973451317074;Yes;37;26.0;18.0;0.0;0.0;0.0;0.0;0.0;Cash or cash equivalent;26
33;DE;Internal Medicine;3343.9800000000005;209;Food and Beverage;3276.8000000000006;42;878.79;75;35;29.223268108936438;Covered;113;35.0;174.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;174
34;NY;Internal Medicine;56162.05000000001;220;Education;41722.0;36;14047.81;96;28;110.3051141167477;Yes;174;67.0;153.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;153
35;CA;Psychiatry & Neurology;479471.70000000024;588;Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program;371611.0;52;53949.59;150;6;453.37269612177874;Yes;360;297.0;291.0;0.0;0.0;0.0;0.0;0.0;Cash or cash equivalent;297
36;OH;Psychiatry & Neurology;19179.259999999977;517;Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program;9727.5;54;6855.469999999999;169;28;21.123309190711527;Yes;361;89.0;428.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;428
37;NC;Internal Medicine;1529.38;96;Food and Beverage;1504.43;23;410.08000000000004;197;21;2.8450074574669473;Yes;74;13.0;83.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;83
38;CA;Dental Providers;393113.92999999976;356;Consulting Fee;261193.75;107;154301.21999999997;493;12;918.5696919931811;Covered;216;173.0;183.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;183
39;CO;Dermatology;58412.970000000016;379;Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program;45575.0;56;9047.61;589;36;47.54900809867309;Yes;200;87.0;292.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;292
40;MI;Internal Medicine;1649.5199999999995;118;Food and Beverage;1649.5199999999995;17;288.9999999999999;150;21;2.777600819310902;Yes;65;4.0;114.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;114
41;UT;Pediatrics;12533.579999999994;446;Food and Beverage;6363.509999999996;64;5520.109999999999;334;48;29.561500276294293;Yes;326;27.0;419.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;419
43;FL;Emergency Medicine;3145.3799999999997;117;Food and Beverage;3141.8699999999994;49;828.15;190;14;47.89300324743279;Yes;102;13.0;104.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;104
44;CA;Podiatric Medicine & Surgery Service Providers;9611.18;33;Consulting Fee;4650.0;18;5022.19;2030;9;239.94921866641587;Yes;25;3.0;30.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;30
45;CA;Ophthalmology;846.26;27;Food and Beverage;733.3100000000002;4;110.58999999999999;190;6;71.90210172841238;Covered;14;0.0;27.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;27
48;CO;Family Medicine;1148.6700000000003;81;Food and Beverage;1038.3999999999999;19;211.92000000000002;150;19;6.856506883432369;Yes;45;2.0;79.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;79
49;MI;Surgery;10549.35;73;Education;6500.0;25;4655.439999999999;278;22;47.20256166241099;Covered;46;12.0;61.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;61
50;MI;Family Medicine;3097.2999999999997;260;Food and Beverage;3095.8199999999997;43;378.55999999999995;152;32;2.6559805356851496;Yes;137;12.0;248.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;248
51;CA;Podiatric Medicine & Surgery Service Providers;2753.1699999999996;83;Food and Beverage;2753.1699999999996;13;668.51;340;25;30.95889936056716;Yes;64;7.0;76.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;76
52;FL;Dental Providers;1478.3999999999999;16;Gift;997.57;3;1053.8400000000001;488;7;79.45183903402669;Yes;11;2.0;14.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;14
54;CA;Family Medicine;2197.8100000000013;125;Food and Beverage;1622.1299999999997;15;359.31000000000006;593;19;11.79670878670153;Yes;71;3.0;122.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;122
55;IN;Family Medicine;16509.179999999993;320;Food and Beverage;8712.390000000007;28;5809.27;90;40;69.97156908066206;Yes;188;19.0;301.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;301
56;VA;Dental Providers;1743.74;92;Food and Beverage;1714.1800000000003;22;436.51;147;12;15.041287050483708;Yes;44;5.0;87.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;87
59;IL;;939.2800000000001;28;Food and Beverage;840.2800000000001;6;281.3;334;12;28.426447456138256;Yes;18;3.0;25.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;25
60;FL;Eye and Vision Services Providers;1877.48;26;Food and Beverage;1011.55;11;754.11;296;9;42.54083230523614;Covered;15;12.0;14.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;14
61;UT;Orthopaedic Surgery;4068.49;33;Honoraria;1550.0;12;2802.9399999999996;1969;10;218.369556892004;Yes;26;8.0;25.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;25
63;CA;Psychiatry & Neurology;4034.2799999999997;223;Food and Beverage;3772.5800000000004;69;1542.02;897;17;29.066790952353042;Covered;144;24.0;199.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;199
64;TX;Family Medicine;1355.4600000000003;87;Food and Beverage;1301.2200000000003;44;649.47;74;31;3.190231816271007;Yes;74;6.0;81.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;81
65;GA;Surgery;957.8299999999999;45;Food and Beverage;922.8299999999999;8;252.48999999999998;340;19;30.21546698911619;Yes;22;9.0;36.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;36
66;CA;Internal Medicine;8947.889999999998;140;Travel and Lodging;5689.5599999999995;35;4062.750000000001;216;21;161.92616833387066;Yes;83;41.0;99.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;99
67;NY;Internal Medicine;2501.4100000000008;88;Food and Beverage;1831.4099999999999;26;384.78;147;24;23.39013036657085;Yes;77;12.0;76.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;76
68;TN;Internal Medicine;42632.429999999935;721;Travel and Lodging;25611.88;97;11321.759999999998;521;38;111.85161211758367;Yes;508;135.0;586.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;586
69;NY;Ophthalmology;2224.52;92;Food and Beverage;2224.52;25;535.4000000000001;190;12;12.13702430644149;Covered;56;2.0;90.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;90
70;IL;Internal Medicine;7037.3099999999995;283;Food and Beverage;5781.929999999998;22;1347.1799999999998;18;41;27.397866863996025;Yes;170;22.0;261.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;261
71;CA;Internal Medicine;3508.0099999999998;57;Consulting Fee;1800.0;34;2515.57;348;25;91.75084849130722;Covered;41;11.0;46.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;46
72;NJ;Psychiatry & Neurology;4454.0199999999995;60;Food and Beverage;4423.169999999999;13;1113.1;169;19;40.245371143712454;Covered;33;6.0;54.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;54
73;OH;Radiology;6771.339999999998;93;Travel and Lodging;3613.9399999999996;17;1940.15;599;9;59.54825434963425;Yes;49;2.0;91.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;91
74;CA;Family Medicine;2784.7599999999998;144;Food and Beverage;2780.1199999999994;20;273.84999999999997;150;26;6.385763386223666;Yes;75;8.0;136.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;136
75;WV;;670.7499999999999;36;Food and Beverage;641.35;12;178.99;75;8;4.909319115122496;Covered;20;0.0;36.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;36
77;TX;Internal Medicine;8172.329999999999;348;Food and Beverage;4251.2300000000005;117;4374.240000000001;377;41;15.51028822573992;Yes;171;90.0;258.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;258
78;TX;Otolaryngology;1845.5000000000002;58;Food and Beverage;1845.5000000000002;9;247.33999999999997;1285;20;35.7037080814135;Yes;34;22.0;36.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;36
79;AL;Family Medicine;9528.139999999998;848;Food and Beverage;9353.159999999994;96;835.5100000000004;152;42;10.449834613215206;Yes;539;70.0;778.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;778
83;GA;Physical Medicine & Rehabilitation;189471.76999999993;682;Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program;75512.5;223;94605.62999999999;1684;39;301.5201481241087;Yes;622;152.0;530.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;530
84;MD;Internal Medicine;372.19000000000005;11;Food and Beverage;358.33000000000004;1;95.06;1772;9;38.38356675099095;Covered;6;3.0;8.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;8
85;WA;Internal Medicine;6400.039999999998;124;Food and Beverage;3538.0500000000006;21;1284.41;859;19;200.6383134429452;Yes;91;12.0;112.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;112
86;MD;Internal Medicine;7228.640000000002;203;Food and Beverage;4997.420000000001;39;2360.2999999999993;75;28;48.187447281021946;Yes;106;19.0;184.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;184
87;MA;Urology;7494.240000000005;427;Food and Beverage;6831.950000000002;35;568.91;69;40;10.860594520674766;Yes;298;32.0;395.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;395
91;NC;Internal Medicine;2585.0399999999995;96;Food and Beverage;2487.3999999999996;38;1022.1099999999999;417;21;23.26081407155721;Yes;82;7.0;89.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;89
92;WA;Internal Medicine;3083.529999999998;192;Food and Beverage;2983.7199999999984;30;481.14000000000004;75;21;4.134754653473378;Yes;95;8.0;184.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;184
93;KS;Psychiatry & Neurology;34673.35999999998;1357;Food and Beverage;16267.770000000024;144;8858.64;71;56;25.51395726407245;Yes;829;273.0;1084.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;1084
94;ID;Urology;4218.17;113;Food and Beverage;2822.870000000001;21;2176.8700000000003;278;27;26.049872936588553;Yes;75;7.0;106.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;106
96;PA;Surgery;10713.24;95;Food and Beverage;4399.279999999999;9;3972.360000000001;278;28;53.02481268131319;Yes;58;22.0;73.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;73
97;NH;Internal Medicine;25470.249999999996;50;Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program;20700.0;19;11144.300000000001;74;8;206.41928976838466;Covered;41;10.0;40.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;40
98;TX;Orthopaedic Surgery;3229.05;65;Food and Beverage;1299.6299999999999;15;1205.4700000000003;632;15;291.2433209030204;Yes;39;40.0;25.0;0.0;0.0;0.0;0.0;0.0;Cash or cash equivalent;40
99;SC;Urology;6926.840000000001;155;Food and Beverage;3084.7099999999996;37;3093.4600000000005;582;27;572.33801654098;Yes;111;39.0;116.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;116
100;MA;Internal Medicine;2798.390000000001;144;Food and Beverage;2771.9800000000005;41;713.5300000000001;123;19;22.414843299617743;Yes;114;3.0;141.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;141
101;FL;Internal Medicine;2920.5800000000017;123;Food and Beverage;2867.160000000001;27;553.5799999999999;75;25;20.156175941677866;Covered;75;3.0;120.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;120
102;GA;Podiatric Medicine & Surgery Service Providers;8840.579999999998;123;Travel and Lodging;3331.3799999999997;17;3134.5300000000007;267;23;134.44033851048587;Yes;73;49.0;74.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;74
103;AZ;;4272.099999999999;61;Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program;2293.21;11;1771.62;750;10;30.452632441418267;Yes;32;45.0;16.0;0.0;0.0;0.0;0.0;0.0;Cash or cash equivalent;45
105;VA;Dental Providers;2158.29;37;Travel and Lodging;1202.04;16;849.85;42;10;50.68764890662485;Yes;28;5.0;32.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;32
106;FL;Internal Medicine;1285.5800000000002;72;Food and Beverage;1251.58;10;166.46000000000004;75;15;13.821415360841286;Yes;37;0.0;72.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;72
107;NY;Ophthalmology;859.0200000000001;26;Food and Beverage;709.0200000000001;5;317.78999999999996;1393;12;34.77981653330085;Yes;19;2.0;24.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;24
110;TX;Urology;10475.850000000002;54;Travel and Lodging;3791.9000000000005;10;4030.25;278;11;177.3321205504496;Yes;32;6.0;48.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;48
111;KS;Radiology;4564.39;88;Food and Beverage;4474.389999999999;12;967.0000000000002;772;15;34.32627108995724;Yes;50;70.0;18.0;0.0;0.0;0.0;0.0;0.0;Cash or cash equivalent;70
113;CA;Podiatric Medicine & Surgery Service Providers;2159.3800000000006;102;Food and Beverage;1333.6800000000005;31;1176.57;1607;10;30.868857474991522;Yes;59;21.0;81.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;81
114;LA;Internal Medicine;10985.030000000008;754;Food and Beverage;10894.420000000007;47;810.8299999999999;334;41;19.021977312562353;Yes;466;27.0;727.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;727
115;FL;Psychiatry & Neurology;102225.26999999999;173;Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program;81030.0;16;16891.480000000003;145;21;204.2331864521835;Yes;92;66.0;107.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;107
116;CA;Dental Providers;3249.6399999999994;20;Education;1770.0;3;203.51;1264;9;265.81415487912784;None;8;4.0;16.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;16
118;IL;Orthopaedic Surgery;6694.080000000002;59;Education;3104.06;23;4303.390000000001;668;19;556.0220393322364;Yes;48;3.0;56.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;56
120;GA;Obstetrics & Gynecology;978.19;44;Food and Beverage;978.19;13;230.93;215;8;4.638374704695657;Yes;21;8.0;36.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;36
121;NC;Obstetrics & Gynecology;1755.2199999999998;97;Food and Beverage;1625.5899999999997;21;369.08000000000004;123;30;10.936523726560711;Yes;68;8.0;89.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;89
122;FL;Internal Medicine;6339.510000000001;328;Food and Beverage;6230.180000000001;20;581.2699999999995;74;35;31.35568139086635;Yes;201;18.0;310.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;310
123;MS;Internal Medicine;7513.639999999999;302;Food and Beverage;5651.890000000001;97;1490.85;334;30;195.29090929937755;Yes;251;6.0;296.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;296
124;NJ;Eye and Vision Services Providers;1062.2200000000003;42;Food and Beverage;945.5700000000002;9;267.04;289;14;22.209791831026724;Yes;29;2.0;40.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;40
125;IL;Otolaryngology;746.69;39;Food and Beverage;746.69;8;142.26;675;16;5.586391002505138;Yes;26;7.0;32.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;32
126;CA;Surgery;466926.1900000001;194;Consulting Fee;339109.0;52;117524.98000000001;1239;20;1766.739644028049;Covered;80;128.0;66.0;0.0;0.0;0.0;0.0;0.0;Cash or cash equivalent;128
127;IL;Orthopaedic Surgery;14394.68;119;Travel and Lodging;7655.88;28;4915.9400000000005;267;32;83.21433377944842;Covered;50;36.0;83.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;83
128;NV;Eye and Vision Services Providers;2897.8;60;Food and Beverage;2317.27;8;594.5500000000001;569;10;33.16609012658598;Yes;31;17.0;43.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;43
129;KS;Pediatrics;1272.5899999999995;91;Food and Beverage;1272.5899999999995;8;110.01000000000002;1393;23;4.5926414490913;Yes;54;6.0;85.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;85
130;IN;Eye and Vision Services Providers;1587.2899999999995;67;Food and Beverage;1549.1299999999999;16;317.03000000000003;190;16;24.39300739444285;Yes;48;9.0;58.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;58
131;HI;Preventive Medicine;4710.309999999996;223;Food and Beverage;4585.309999999997;51;1406.4599999999998;229;16;7.775610106594354;Yes;116;47.0;176.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;176
132;OK;Orthopaedic Surgery;2587.0099999999998;60;Food and Beverage;1494.1299999999997;12;1089.91;461;21;58.90998074743217;Yes;41;15.0;45.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;45
133;CT;Ophthalmology;1461.3499999999997;48;Food and Beverage;1396.6299999999999;21;620.45;147;9;49.70322047878531;Yes;39;0.0;48.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;48
134;PA;Orthopaedic Surgery;8261.080000000002;44;Education;5876.0;19;6128.29;267;11;183.6053116080087;No;24;2.0;42.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;42
135;TN;Pediatrics;1617.5000000000005;91;Food and Beverage;1467.5600000000002;11;112.83000000000004;197;25;11.960800241112462;Yes;59;3.0;88.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;88
137;TX;Psychiatry & Neurology;6128.410000000001;200;Food and Beverage;4996.34;45;1613.87;596;31;42.23735621809993;Yes;168;40.0;160.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;160
138;PA;Internal Medicine;1859.0099999999998;124;Food and Beverage;1859.0099999999998;21;290.2700000000001;150;19;2.5141681520810626;Yes;94;23.0;101.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;101
140;NJ;Obstetrics & Gynecology;1026.4400000000003;62;Food and Beverage;991.2200000000004;14;255.0;450;19;5.704712611205383;Yes;32;1.0;61.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;61
141;MO;Pediatrics;965.51;57;Food and Beverage;965.51;11;187.70000000000002;1324;18;17.38673025571397;Yes;44;3.0;54.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;54
142;NY;Surgery;9553.649999999994;90;Consulting Fee;6032.0;21;7268.54;207;30;841.5332523218531;Yes;47;16.0;74.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;74
143;OH;Plastic Surgery;6253.909999999999;161;Food and Beverage;2350.9999999999995;13;1829.15;190;9;42.90544085165759;Yes;79;6.0;155.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;155
144;FL;Internal Medicine;4241.0999999999985;201;Food and Beverage;4141.519999999999;29;366.6400000000001;1153;24;20.563084088415053;Yes;115;15.0;186.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;186
145;NC;Internal Medicine;516.7199999999999;31;Food and Beverage;498.05999999999995;4;80.42;859;13;19.662653719148498;Yes;16;0.0;31.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;31
146;MI;Family Medicine;1135.39;34;Food and Beverage;1057.1000000000001;10;358.07000000000005;271;4;10.438885430204856;Non-Covered;16;9.0;25.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;25
147;CO;Urology;32461.43;45;Current or prospective ownership or investment interest;29457.05;14;18525.5;1058;13;577.1749212771789;Covered;33;23.0;22.0;0.0;0.0;0.0;0.0;0.0;Cash or cash equivalent;23
148;KY;Internal Medicine;2933.3600000000006;119;Food and Beverage;2386.730000000001;23;1195.7499999999998;1153;23;21.21693677347026;Yes;88;2.0;117.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;117
149;TX;Internal Medicine;592.67;39;Food and Beverage;592.67;16;267.99;162;11;20.412614084783115;Covered;27;1.0;38.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;38
150;NY;Internal Medicine;7033.430000000006;388;Food and Beverage;5630.940000000005;57;2040.0300000000002;334;33;47.878606267370564;Yes;281;7.0;381.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;381
151;AZ;Obstetrics & Gynecology;537.7900000000002;33;Food and Beverage;526.6500000000002;7;127.87;123;17;5.337502988626308;Yes;17;5.0;28.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;28
152;NY;Psychiatry & Neurology;9338.609999999995;293;Food and Beverage;9240.579999999998;106;2105.33;71;38;33.49822813692279;Covered;182;32.0;261.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;261
153;NC;Allergy & Immunology;6907.100000000001;380;Food and Beverage;6807.540000000001;81;1904.6299999999997;75;27;10.413784669371244;Yes;297;9.0;371.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;371
154;TX;Internal Medicine;8156.170000000002;121;Food and Beverage;5701.850000000001;48;3856.75;818;21;33.422385526976775;Yes;94;20.0;101.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;101
