Physician_ID,Set,Primary_Specialty_Count,License_State_Count,Total_Amount_of_Payment_USDollars,Number_of_Payments,Number_of_Ownership_Interests,Has_Ownership_Interest
84,train,2,1,372.19000000000005,11,,
85,train,3,1,6400.039999999998,124,,
86,train,3,2,7228.640000000002,226,,
87,train,2,2,7494.240000000005,427,1.0,True
88,test,0,1,2259.729999999999,111,,
89,test,3,1,7809.610000000003,97,,
90,test,2,3,1362.81,85,,
91,train,3,2,2585.0399999999995,96,,
92,train,2,1,3083.529999999998,200,,
93,train,3,2,34673.35999999998,1357,36.0,True
94,train,2,1,4218.17,113,,
95,test,3,3,8881.310000000003,141,,
96,train,2,3,10713.24,95,,
97,train,2,1,25470.249999999996,50,,
98,train,2,2,3229.05,65,,
99,train,2,1,6926.840000000001,155,,
100,train,3,3,2798.390000000001,144,,
101,train,3,1,2920.5800000000017,123,,
102,train,3,2,8840.579999999998,123,,
103,train,0,1,4272.099999999999,61,,
104,test,3,1,4172.29,141,,
105,train,3,2,2158.29,38,,
106,train,2,1,1285.5800000000002,83,,
107,train,2,1,859.0200000000001,26,,
108,test,2,1,13325.089999999993,756,,
109,test,2,1,1004.59,30,,
110,train,2,1,10475.850000000002,58,,
111,train,3,4,4564.39,88,,
112,test,3,2,15300.040000000008,888,,
113,train,3,1,2159.3800000000006,102,,
114,train,3,1,10985.030000000008,779,2.0,True
115,train,3,3,102225.26999999999,173,,
116,train,3,1,3249.6399999999994,20,,
117,test,0,1,8344.080000000005,379,,
118,train,2,2,6694.080000000002,67,,
119,test,2,1,753.2499999999999,31,,
120,train,3,2,978.19,44,,
121,train,2,1,1755.2199999999998,97,,
122,train,2,1,6339.510000000001,328,,
123,train,3,1,7513.639999999999,310,,
124,train,2,2,1062.2200000000003,42,,
125,train,2,1,746.69,39,,
126,train,3,2,466926.1900000001,209,,
127,train,2,1,14394.68,119,,
128,train,2,1,2897.8,60,,
129,train,2,1,1272.5899999999995,91,,
130,train,2,1,1587.2899999999995,67,,
131,train,3,1,4710.309999999996,223,,
132,train,2,1,2587.0099999999998,60,,
133,train,2,2,1461.3499999999997,48,,
134,train,2,2,8261.080000000002,44,,
135,train,2,1,1617.5000000000005,91,,
136,test,2,1,289.36,18,,
137,train,3,3,6128.410000000001,200,6.0,True
138,train,2,1,1859.0099999999998,124,,
139,test,2,1,5100.5099999999975,363,,
140,train,2,1,1026.4400000000003,62,,
141,train,2,1,965.51,57,,
142,train,2,3,9553.649999999994,90,,
143,train,2,1,6253.909999999999,161,,
144,train,3,1,4241.0999999999985,202,1.0,True
145,train,3,1,516.7199999999999,31,,
146,train,2,1,1135.39,34,,
147,train,2,4,32461.43,46,14.0,True
148,train,3,4,2933.3600000000006,119,,
149,train,3,1,592.67,39,,
150,train,3,2,7033.430000000006,395,,
151,train,2,1,537.7900000000002,33,,
152,train,3,1,9338.609999999995,294,2.0,True
153,train,2,1,6907.100000000001,459,,
154,train,3,1,8156.170000000002,121,,
155,test,2,2,11810.20000000001,610,,
156,train,3,1,370785.4600000001,1205,,
157,train,3,4,23575.83000000001,68,,
158,train,3,1,136251.0,84,,
159,train,2,1,16264.889999999998,953,,
160,train,2,1,5115.179999999999,412,,
161,train,2,2,4112.13,43,,
162,test,3,1,87586.34,1439,,
163,train,2,1,213405.92000000022,1803,,
164,train,2,2,196482.60000000006,112,,
165,train,2,1,4673.579999999998,140,,
166,train,2,1,1216.0399999999997,31,,
167,train,2,1,1283.5199999999995,70,,
168,train,2,1,1160.58,60,,
169,train,2,1,589.87,24,,
170,train,2,1,46117.57000000001,270,,
171,train,2,1,3821.24,212,,
172,train,2,1,3020.4799999999996,269,,
173,train,2,1,464.87,9,,
174,train,2,1,696.4399999999999,35,,
175,train,3,4,8634.969999999988,721,,
176,test,3,2,70246.68999999973,1804,,
177,train,2,1,1603.2299999999998,34,,
178,train,3,2,10285.270000000015,810,,
179,train,2,2,14952.320000000002,540,,
180,test,2,1,2838.9999999999995,28,,
181,train,2,2,537.3199999999998,22,,
182,test,3,1,5502.539999999998,365,,
183,train,2,1,651.85,43,,
184,train,0,1,43611.88999999997,163,,
185,test,2,1,49547.44999999999,143,,
186,test,2,1,1136.5,37,,
187,test,0,2,2461.1000000000004,94,,
188,train,3,3,3123.460000000002,240,,
189,test,3,1,1135.7599999999998,47,,
190,train,3,3,9684.55,610,,
191,train,2,2,6967.239999999999,189,3.0,True
192,train,2,1,701.3199999999999,59,,
193,train,3,1,1259.1300000000003,39,,
194,train,3,1,5377.150000000001,30,,
195,train,2,1,26974.86,296,,
196,train,2,1,2092.6600000000008,161,,
197,train,3,1,3608.9300000000003,150,,
198,train,2,1,9125.079999999994,154,,
199,train,2,1,5223.43,86,,
200,train,2,1,1645.0999999999997,38,,
201,train,2,1,1549.36,61,,
202,train,3,1,22704.12,39,,
203,train,3,3,8591.28,211,,
204,train,3,1,1278.02,42,,
205,train,3,1,672.5099999999999,24,,
206,train,2,1,13201.64,64,,
207,train,2,1,1606.7100000000007,179,,
208,train,3,3,483235.1400000005,1203,,
209,train,2,1,16687.990000000016,439,,
210,train,3,1,6951.439999999996,522,,
211,train,2,2,977.56,34,,
212,train,2,2,11759.61,79,,
213,train,3,2,242912.89999999988,279,,
214,train,0,1,29220.900000000016,175,,
215,train,3,1,24183.420000000013,603,,
216,train,3,2,14930.88,146,,
217,train,2,2,823.35,39,,
218,train,3,3,27505.739999999987,345,,
219,train,2,1,771.6199999999999,56,,
220,train,2,1,299.17999999999995,13,,
221,train,2,1,552.5,27,,
222,train,3,3,603187.3499999993,790,,
223,test,2,2,1414.3100000000002,24,,
224,test,3,1,1984.4499999999998,26,,
225,train,0,1,8045.229999999999,387,,
226,train,2,1,3634.959999999999,395,,
227,test,3,1,1993.0999999999997,77,,
228,test,2,1,38531.02000000001,155,,
229,train,3,1,4507.04,180,,
230,train,3,1,930.54,20,,
231,train,2,1,1469.3500000000001,58,,
232,train,3,1,2314.7499999999995,115,,
233,train,2,2,50940.13000000003,164,,
234,train,3,2,20612.070000000014,219,,
235,train,2,3,3392.7999999999997,85,,
236,train,2,1,16837.02999999999,1024,,
237,train,2,2,861.7399999999999,29,,
238,train,2,1,685.1399999999999,29,,
239,train,3,3,1939.2199999999996,142,,
240,test,3,1,3632.340000000002,196,,
241,train,3,1,6184.190000000001,74,,
242,train,2,2,3441.88,71,,
243,test,2,1,1656.5,107,,
244,train,3,1,15257.22,954,,
245,train,2,1,9906.110000000006,814,,
246,train,2,1,1817.3400000000001,130,,
247,train,0,2,6720.029999999999,79,,
248,train,2,1,3420.229999999997,259,,
249,train,2,2,4687.749999999999,75,,
250,train,2,1,309.09999999999997,15,,
251,test,2,1,25601.970000000027,805,,
252,train,3,2,43119.68999999998,383,,
253,train,3,1,301.67,9,,
254,train,2,1,2760.3900000000003,140,,
255,train,3,3,2085.6100000000006,32,,
256,train,2,2,2543.219999999998,118,,
257,test,3,4,169919.50000000015,87,,
258,train,3,2,20849.739999999994,205,,
259,train,3,2,41298.14000000001,475,,
260,train,2,1,6151.58,53,,
261,train,3,2,8755.829999999998,328,,
262,train,3,1,1413.090000000001,74,,
263,train,3,2,740.99,27,,
264,train,2,2,18433.610000000026,1261,,
265,test,3,1,20274.02,119,,
266,train,2,2,5573.09,407,,
267,train,2,1,4584.480000000001,319,,
268,train,3,2,87059.48000000005,585,,
269,train,2,2,15592.119999999999,88,,
270,train,3,5,11924.170000000004,134,,
271,train,3,1,2817.7000000000007,112,,
272,train,2,1,3012.820000000002,199,,
273,train,2,1,757.0099999999998,54,,
274,test,3,1,9548.57000000002,630,,
275,train,3,2,4888.790000000001,55,,
276,train,2,1,9211.989999999998,868,,
277,train,3,1,1737.3800000000003,106,,
278,train,3,1,1388373.7200000004,2016,16.0,True
279,train,3,2,21270.57000000002,269,,
280,train,3,1,4176.109999999999,169,,
281,train,3,2,11241.81999999999,586,,
282,train,2,1,6087.89,107,,
283,train,3,1,81527.81999999999,363,,
284,train,3,1,2028.9500000000005,103,,
285,train,2,2,2749.690000000001,57,,
286,train,3,1,102659.67,85,5.0,True
287,test,2,1,434.43000000000006,29,,
288,train,2,2,5077.2100000000055,88,,
289,train,2,1,400872.91,642,,
290,train,3,1,1389.0500000000004,42,,
291,train,2,5,12423.269999999988,191,,
292,train,3,1,933.46,16,,
293,train,3,1,13974.340000000011,419,,
294,train,2,1,1169.9999999999998,41,,
295,train,2,1,1714.9100000000008,103,,
296,train,2,2,84021.78000000003,151,,
297,train,2,1,2434.249999999999,139,,
298,train,2,3,664.9700000000003,44,,
299,train,3,3,2151.5600000000004,39,,
300,train,2,1,8291.899999999998,789,,
301,train,2,1,1656.6099999999992,119,,
302,train,2,2,954.1800000000003,49,,
303,test,2,1,1403.9100000000008,92,,
304,train,2,1,7935.030000000008,663,,
305,train,3,3,15432.689999999997,100,,
306,test,3,1,1830.5000000000005,66,,
307,test,2,1,4125.7300000000005,52,,
308,test,2,2,22312.500000000004,39,,
309,test,0,3,12448.359999999991,648,,
310,train,3,1,3269.3500000000004,122,,
311,train,3,2,328455.5799999996,1018,,
312,train,2,1,12580.58,105,,
313,train,2,1,1859.6100000000001,102,,
314,train,3,1,1226.6,43,,
315,test,2,1,5725.590000000002,362,,
316,test,2,2,675.5800000000003,50,,
317,train,2,4,30595.619999999984,296,,
318,train,0,1,38671.17999999999,397,,
319,train,2,1,1640.77,102,,
320,train,3,2,19648.04000000001,84,,
321,train,3,3,105127.27000000002,267,,
322,train,2,1,25694.730000000007,1013,,
323,train,2,1,5727.789999999999,112,,
324,train,2,3,3397.99,86,1.0,True
325,train,2,1,4986.390000000003,314,,
326,train,3,1,207006.87000000002,144,,
327,train,2,4,11293.809999999996,483,,
328,train,2,1,10799.550000000001,1178,,
329,train,2,1,10524.900000000001,692,,
330,train,2,1,286.98999999999995,15,,
331,train,2,1,11456.7,793,,
332,train,2,1,1090.23,23,,
333,train,0,1,7195.700000000002,151,,
334,train,3,1,9885.650000000003,465,,
335,test,2,1,2248.6200000000003,182,,
336,train,3,3,20183.790000000008,105,,
337,test,0,2,399.6700000000001,26,,
338,train,2,2,2395893.7399999993,2017,,
339,train,2,1,341.09000000000003,23,,
340,train,2,1,3263.59,108,,
341,train,3,1,5690.279999999999,268,,
342,train,2,1,6044.360000000001,351,,
343,train,3,1,967.8599999999999,62,,
344,train,0,2,2911.630000000001,98,,
345,train,2,1,1303.96,44,,
346,train,3,1,2212.1200000000003,18,,
347,train,2,1,2896.9700000000003,73,,
348,train,3,1,2666.1100000000006,211,,
349,train,2,1,1075.5600000000002,51,,
350,train,2,1,13313.020000000011,261,,
351,train,2,1,5465.34,261,,
352,train,3,4,351042.6099999997,635,,
353,train,2,1,12993.179999999997,1051,,
354,train,2,1,56401.34000000001,137,,
355,train,2,1,2314.6800000000003,51,,
356,train,3,1,1013.1400000000001,70,,
357,train,3,1,1495.5,40,,
358,test,2,3,7143.740000000001,79,,
359,train,2,2,7242.789999999998,223,,
360,train,2,1,3392.600000000001,81,,
361,train,2,1,2602.1199999999994,144,,
362,train,3,2,3315.04,44,,
363,train,2,1,2635.8400000000006,85,,
364,test,3,1,531745.8200000001,751,,
365,train,2,1,4844.1,376,,
366,train,2,1,1059.05,55,,
367,train,2,2,6697.119999999998,89,,
368,train,3,1,1081773.5299999998,182,,
369,train,2,2,905.4500000000004,61,,
370,train,2,1,2824.14,44,,
371,train,3,3,1963.16,100,,
372,test,3,1,8221.429999999998,253,,
373,train,3,1,3453.94,22,,
374,train,2,1,127413.01,194,,
375,test,3,1,1189.51,78,,
376,train,0,1,559.88,29,,
377,train,2,1,5401.639999999999,61,,
378,train,2,2,7653.58,70,,
379,test,2,1,2070.5800000000004,88,,
380,train,3,1,15618.84,74,,
381,train,3,3,19325.190000000002,173,1.0,True
382,train,0,1,13078.409999999994,82,,
383,test,2,2,7670.749999999996,541,,
384,train,3,2,6280.999999999998,208,,
385,test,3,2,7111.58,142,,
386,train,3,1,4109.490000000002,138,,
387,test,2,1,1417.2999999999997,74,,
388,train,3,3,35710.28000000001,299,,
389,train,2,1,2154.24,44,,
390,train,3,3,1482.1400000000003,50,,
391,train,2,2,4413.67,115,,
392,train,2,1,1677.5799999999995,140,,
393,train,3,1,8088.120000000001,63,,
394,train,3,1,2892.659999999999,181,,
395,test,2,1,2617.5,97,,
396,train,2,3,21124.549999999996,1056,,
397,test,3,1,516.68,19,,
398,test,2,1,10490.16,451,,
399,train,3,1,4452.41,296,,
400,train,0,2,30223.320000000025,613,,
401,train,3,2,916.1999999999999,54,,
402,train,3,1,9209.960000000001,49,,
403,train,3,5,16016.579999999989,668,5.0,True
404,train,3,2,3206.2,169,,
405,train,2,2,2021.449999999999,140,,
406,train,2,1,1871.7499999999995,111,,
407,test,3,2,3823.140000000001,22,,
408,train,2,1,927.9699999999998,64,,
409,train,3,3,119426.19000000002,158,,
410,train,3,1,1279.96,82,,
411,train,3,4,13788.129999999997,360,,
412,test,2,2,4294.369999999999,81,,
413,train,3,2,4022.0,137,,
414,train,3,3,1832.53,25,,
415,train,3,2,26857.95999999998,876,,
416,train,2,1,6904.900000000001,509,,
417,train,2,2,2208.33,110,,
418,train,3,1,6994.440000000006,551,,
419,test,3,1,164160.70999999996,332,,
420,train,3,1,29865.509999999987,205,,
421,train,2,2,4989.539999999996,315,,
422,train,2,1,3330.19,38,,
423,train,3,2,52252.12000000001,225,,
424,train,2,2,33129.25,235,,
425,train,2,1,9552.22,526,,
426,train,2,1,2021.8400000000001,102,,
427,train,2,1,30124.920000000016,177,,
428,test,3,2,2341.03,61,,
429,train,2,1,1384.74,16,,
430,train,3,1,641520.7299999994,2238,,
431,train,2,1,9569.269999999995,213,,
432,train,2,1,1083.3999999999999,17,,
433,train,3,3,20429.809999999998,150,,
434,train,2,1,10080.960000000006,249,,
435,train,3,1,5963.5199999999995,44,,
436,train,3,1,978.2599999999999,77,,
437,train,2,2,4241.440000000001,340,,
438,test,2,1,2932.830000000001,178,,
439,train,2,2,5522.250000000003,266,,
440,train,2,1,3757.419999999999,228,3.0,True
441,test,2,1,819.13,27,,
442,test,0,1,134083.69000000003,389,,
443,train,2,1,605.0100000000001,41,,
444,train,3,1,657.1700000000001,34,,
445,test,3,2,7717.070000000003,359,,
446,train,2,1,1423.0100000000007,80,,
447,train,2,1,3946.3899999999967,275,,
448,train,2,1,84474.72,515,,
449,train,2,2,6189.549999999997,437,,
450,train,2,1,538.0,16,,
451,train,0,1,5480.76,95,,
452,test,3,1,3829.790000000001,185,,
453,train,2,2,3560.620000000001,177,,
454,train,3,4,544.34,20,,
455,train,0,5,9406.660000000007,151,,
456,train,2,1,6756.419999999998,464,,
457,train,2,1,18259.000000000007,349,,
458,train,2,1,8472.190000000002,106,,
459,train,2,2,131676.38999999998,151,,
460,train,2,1,10764.249999999998,38,,
461,train,2,2,4783.250000000002,51,,
462,train,2,2,760.6999999999998,53,,
463,train,2,1,769.9899999999999,39,,
464,train,3,1,9413.079999999996,47,,
465,train,2,1,6837.179999999999,102,,
466,train,2,1,2358.49,156,,
467,train,2,1,11094.62,91,,
468,train,2,2,4316.069999999999,221,,
469,train,2,1,2053.5600000000004,112,,
470,test,0,1,16383.629999999997,692,,
471,train,3,4,2327.479999999999,38,,
472,train,2,1,1909.9899999999998,12,,
473,test,3,1,4364347.219999997,549,,
474,train,2,1,2313.12,127,,
475,train,2,2,1977.0400000000004,70,,
476,test,3,3,2109.8999999999996,182,,
477,test,3,1,1790.37,104,,
478,train,3,1,19544.019999999982,166,,
479,test,3,1,1734.14,65,,
480,train,3,1,1881.6699999999998,47,,
481,train,0,1,1172.0499999999997,73,,
482,train,2,1,982.92,40,,
483,train,2,3,3614.280000000001,185,,
484,train,2,1,3992.7000000000007,84,,
485,test,2,2,80097.91000000002,708,,
486,train,2,1,3423.5099999999998,70,,
487,train,2,1,3810.160000000002,237,,
488,train,2,2,21216.58,140,,
489,train,3,1,18129.52,124,,
490,train,2,1,3738.4700000000016,239,,
491,train,2,2,18820.989999999998,59,,
492,train,2,1,6998.090000000004,551,,
493,train,3,1,1705.3799999999997,159,,
494,test,3,2,14177.71,784,,
495,train,3,1,837.7399999999999,49,,
496,train,3,1,1929.7900000000002,128,,
497,train,2,1,2966.87,60,,
498,train,3,1,119127.39000000001,357,,
499,test,2,2,12098.539999999995,171,,
500,train,3,3,2198.2200000000007,106,,
501,train,3,1,5016.809999999998,37,,
502,train,2,1,2345.95,77,,
503,test,2,2,7654.600000000002,129,,
504,train,2,3,2690.7000000000003,133,,
505,train,2,1,855.5099999999999,41,,
506,train,2,1,3316.37,122,,
507,train,3,1,11489.850000000002,64,,
508,test,3,1,11396.459999999997,330,,
509,train,2,1,1175.4099999999996,42,,
510,train,2,1,1589.17,26,,
511,train,2,1,7552.260000000003,198,,
512,train,2,1,2530.679999999999,132,,
513,train,3,3,6122.530000000006,121,,
514,train,3,1,359.68999999999994,20,,
515,train,2,1,3355.5699999999993,157,,
516,train,2,1,3536.690000000001,33,,
517,train,2,1,2816.87,85,,
518,train,0,1,5928.33,304,,
519,train,2,1,3477.380000000001,116,,
520,train,2,1,2178.1900000000005,128,,
521,train,3,1,1232.4800000000002,32,,
522,train,3,1,13623.920000000026,561,,
523,train,3,2,15092.279999999992,502,,
524,test,2,1,6284.119999999995,362,,
525,train,2,1,1269.5999999999997,87,,
526,train,3,4,9567.379999999997,194,,
527,train,3,3,3973.98,101,,
528,train,2,5,11777.470000000005,42,,
529,train,2,3,6308.570000000002,205,,
530,train,3,2,55988.270000000004,65,,
531,train,2,1,1518.58,72,,
532,test,3,1,51852.13,33,,
533,train,2,1,1519.85,74,,
534,train,2,1,1366.2799999999997,40,,
535,train,2,2,1176.0199999999993,106,,
536,train,3,2,8458.490000000005,477,,
537,train,2,3,10218.899999999994,602,,
538,train,0,1,794.86,13,,
539,test,2,1,27233.260000000017,1792,,
540,test,3,1,9481.370000000003,522,,
541,train,0,4,755.4599999999999,35,,
542,test,3,2,6235.550000000001,543,,
543,train,2,1,4493.48,256,,
544,train,3,1,7605.53,91,,
545,train,2,2,1467.51,58,,
546,train,2,1,2172.89,35,,
547,train,3,2,23439.669999999995,767,,
548,train,3,1,2065.8499999999995,51,,
549,train,0,1,7245.690000000002,159,,
550,train,3,1,12591.630000000005,515,13.0,True
551,train,2,1,7085.91,19,,
552,train,2,3,25859.309999999998,95,,
553,test,3,2,683.6300000000001,20,,
554,train,2,1,8664.579999999996,467,,
555,train,2,1,5363.1,87,,
556,test,3,1,1275.1999999999998,15,,
557,train,3,1,4549.480000000001,216,,
558,train,3,2,132195.69999999998,223,,
559,train,3,1,558626.0399999988,2615,,
560,train,2,1,1429.72,30,,
561,train,3,2,5093.07,407,1.0,True
562,test,2,1,2243.019999999998,175,,
563,train,3,1,566.7,16,,
564,train,2,1,1818.6600000000003,54,,
565,train,2,1,1607.4700000000003,46,,
566,train,3,1,1163.7300000000002,24,,
567,train,2,1,1852.2000000000007,62,,
568,train,3,4,1901.92,52,,
569,train,2,2,5568.039999999999,26,,
570,train,3,1,173458.59000000005,248,,
571,train,2,1,1522.1900000000003,96,,
572,train,3,5,28450.710000000025,251,,
573,train,2,1,5942.710000000005,454,,
574,train,2,1,4058.310000000001,259,,
575,test,2,1,870.86,53,,
576,train,3,3,182098.24999999988,546,4.0,True
577,train,2,2,3058.2999999999984,64,,
578,train,2,1,1658.1399999999999,59,,
579,train,2,1,422.7500000000001,25,,
580,train,2,1,635.3500000000003,32,,
581,train,2,1,2918.1399999999994,91,,
582,train,2,1,8800.00000000001,1000,,
583,train,2,1,17080.22,130,,
584,test,2,1,16123.929999999997,107,,
585,train,2,1,7258.479999999998,72,,
586,train,3,1,971.84,59,,
587,train,3,4,30881.28,162,,
588,train,2,1,1502.1199999999997,98,,
589,train,2,1,3642.979999999999,210,,
590,train,3,1,6566.869999999998,155,,
591,train,2,1,2726.3399999999992,63,,
592,train,3,1,136532.30000000013,1200,,
593,train,2,1,2162.020000000002,97,,
594,train,2,1,21098.090000000004,98,,
595,train,3,1,6233.669999999998,372,3.0,True
596,train,2,1,8165.190000000001,786,,
597,train,2,1,4448.009999999998,122,,
598,train,3,1,2171.6700000000005,38,,
599,train,2,1,6875.380000000002,49,,
600,train,3,2,3297.8099999999995,40,,
601,train,2,1,688.6999999999999,33,,
602,train,2,1,413.11,22,,
603,train,2,1,152.2,8,,
604,train,3,1,7861.629999999999,132,8.0,True
605,train,2,1,3813.1900000000014,208,,
606,train,3,1,12867.070000000016,1019,,
607,train,3,1,705.6000000000001,21,,
608,train,3,2,8611.640000000001,72,,
609,train,3,3,2221047.2800000045,2338,41.0,True
610,test,2,2,593.42,31,,
611,train,3,1,2892.02,61,,
612,train,3,2,2971.210000000001,194,,
613,test,2,2,7338.530000000002,33,,
614,train,3,1,164052.2500000001,952,,
615,train,3,2,3343.0199999999986,154,,
616,train,2,1,5118.7300000000005,125,,
617,train,2,2,36497.20999999999,129,,
618,train,0,1,7528.080000000002,422,,
619,train,2,1,5367.219999999998,70,,
620,train,0,1,7729.480000000002,508,,
621,train,2,1,762.3600000000001,48,,
622,train,2,3,85725.54000000004,74,,
623,train,3,1,7450.39,22,,
624,train,3,4,17538.929999999997,78,,
625,train,3,1,123981.55999999995,908,,
626,test,2,1,4301.2300000000005,307,,
627,test,2,3,4112.93,147,,
628,test,3,1,4198.489999999999,206,,
629,train,2,1,828.14,34,,
630,train,2,1,2109.370000000001,80,,
631,train,3,4,4521.36,249,,
632,train,2,1,13807.01,24,,
633,train,3,2,1865.99,91,,
634,train,2,3,2173.4500000000003,121,,
635,train,2,1,1149.0300000000002,72,,
636,test,3,2,2990.15,93,,
637,test,0,2,3899.860000000001,169,,
638,train,2,1,2327.5299999999993,34,,
639,train,2,2,1198.36,38,,
640,train,3,3,3748.43,31,,
641,train,3,1,36524.45,936,,
642,train,2,1,1620.8599999999997,104,,
643,test,2,1,8467.77999999999,675,,
644,train,3,3,9061.980000000003,671,,
645,train,3,1,8296.07,24,,
646,train,2,1,2702.080000000001,208,,
647,train,3,3,1920.75,61,,
648,train,2,1,11480.450000000008,942,,
649,train,2,1,38307.03999999999,145,,
650,train,2,1,2568.51,83,,
651,train,2,1,9922.580000000009,639,,
652,test,2,3,7049.710000000001,560,,
653,train,2,3,37211.779999999984,387,,
654,train,3,1,2087.63,141,,
655,test,0,1,162368.87,126,,
656,test,2,2,2311.2,92,,
657,train,2,1,20259.44,89,,
658,train,2,1,6848.730000000002,296,,
659,train,2,2,95357.37000000004,132,,
660,train,2,1,7590.029999999999,48,,
661,test,2,2,3154.050000000001,68,,
662,train,3,1,6128.32,119,,
663,test,2,1,851.6700000000002,38,,
664,test,3,1,2895.2299999999996,133,,
665,train,2,1,1452.8500000000004,85,,
666,train,2,2,13918.359999999997,198,1.0,True
667,train,2,1,12212.150000000012,761,,
668,train,2,1,29219.550000000007,218,,
669,train,3,1,5377.14,269,,
670,train,3,1,8946.999999999995,100,,
671,test,3,1,869.2900000000001,18,,
672,train,2,1,10648.699999999997,182,,
673,test,3,1,2949.0099999999998,39,,
674,test,2,1,8345.33,550,,
675,train,2,1,751.3899999999999,40,,
676,train,2,1,1191.1900000000005,71,,
677,train,3,1,5570.120000000003,273,,
678,train,2,2,917.32,58,,
679,train,0,1,114444.01999999996,253,,
680,test,3,1,1206559.3100000003,828,,
681,train,2,1,208208.35000000015,370,,
682,train,3,1,4923.839999999999,67,1.0,True
683,train,2,1,1306.2699999999998,76,,
684,train,2,1,2164.2900000000013,156,,
685,train,2,1,789.8699999999998,36,,
686,train,2,1,7221.800000000005,202,,
687,train,2,2,1011.4299999999998,31,,
688,train,3,2,8575.190000000002,662,,
689,train,2,1,2640.9500000000003,151,,
690,train,3,2,17057.73,233,1.0,True
691,train,2,2,1154.04,51,,
692,train,2,1,147854.21999999997,242,,
693,train,3,2,6786.310000000003,113,,
694,train,2,1,9361.289999999999,21,,
695,train,3,1,10251.049999999997,188,,
696,train,2,1,2035722.47,131,,
697,train,3,3,1718.8599999999997,105,,
698,test,2,2,8273.969999999998,608,,
699,train,2,1,10588.719999999994,457,,
700,train,2,1,1718.53,30,,
701,train,2,1,6760.799999999998,135,,
702,train,2,1,5040.3099999999995,319,,
703,test,3,2,26494.52999999997,820,,
704,train,2,1,1358.87,48,,
